Date,Response Time
06/08/2020 07:39:02',0:00:06'
06/08/2020 07:39:04',0:00:01'
06/08/2020 07:39:08',0:00:02'
06/08/2020 07:39:11',0:00:01'
06/08/2020 07:39:19',0:00:01'
06/08/2020 07:39:21',0:00:02'
06/08/2020 07:39:29',0:00:01'
06/08/2020 07:39:58',0:00:26'
06/08/2020 07:40:04',0:00:03'
06/08/2020 07:40:16',0:00:01'
06/08/2020 07:40:21',0:00:02'
06/08/2020 07:40:26',0:00:01'
06/08/2020 07:40:31',0:00:01'
06/08/2020 07:40:39',0:00:03'
06/08/2020 07:40:57',0:00:03'
06/08/2020 07:41:11',0:00:07'
06/08/2020 07:41:16',0:00:02'
06/08/2020 07:41:27',0:00:02'
06/08/2020 07:41:43',0:00:08'
06/08/2020 07:41:55',0:00:01'
06/08/2020 07:42:08',0:00:02'
06/08/2020 07:42:15',0:00:03'
06/08/2020 07:42:19',0:00:00'
06/08/2020 07:53:22',0:00:02'
06/08/2020 12:18:27',0:00:05'
06/08/2020 12:18:36',0:00:01'
06/08/2020 12:18:48',0:00:01'
06/08/2020 12:18:54',0:00:01'
06/08/2020 12:18:56',0:00:01'
06/08/2020 12:18:57',0:00:01'
06/08/2020 12:19:42',0:00:40'
06/08/2020 12:19:50',0:00:02'
06/08/2020 12:19:59',0:00:02'
06/08/2020 12:20:09',0:00:02'
06/08/2020 12:20:14',0:00:03'
06/08/2020 12:20:37',0:00:03'
06/08/2020 12:21:32',0:00:02'
06/08/2020 12:21:53',0:00:14'
06/08/2020 12:23:26',0:00:02'
06/08/2020 12:23:34',0:00:04'
06/08/2020 12:23:38',0:00:00'
06/08/2020 12:23:51',0:00:03'
06/08/2020 12:23:58',0:00:02'
06/08/2020 12:30:59',0:00:01'
06/08/2020 12:31:02',0:00:00'
06/08/2020 12:31:07',0:00:03'
06/08/2020 12:31:08',0:00:00'
06/08/2020 12:32:08',0:00:04'
06/08/2020 12:32:10',0:00:01'
06/08/2020 12:32:57',0:00:01'
06/08/2020 12:33:13',0:00:14'
06/08/2020 12:33:16',0:00:01'
06/08/2020 12:35:06',0:00:02'
06/08/2020 12:35:11',0:00:03'
06/08/2020 13:20:56',0:00:00'
06/08/2020 14:23:25',0:00:06'
06/08/2020 14:23:32',0:00:01'
06/08/2020 14:23:43',0:00:02'
06/08/2020 14:24:06',0:00:01'
06/08/2020 14:24:16',0:00:02'
06/08/2020 14:24:19',0:00:01'
06/08/2020 14:25:21',0:00:55'
06/08/2020 14:26:08',0:00:38'
06/08/2020 14:26:13',0:00:02'
06/08/2020 14:26:21',0:00:02'
06/08/2020 14:26:35',0:00:01'
06/08/2020 14:27:46',0:00:03'
06/08/2020 14:28:19',0:00:03'
06/08/2020 14:29:13',0:00:02'
06/08/2020 14:29:44',0:00:11'
06/08/2020 14:29:53',0:00:01'
06/08/2020 14:30:36',0:00:02'
06/08/2020 14:30:45',0:00:01'
06/08/2020 14:31:12',0:00:03'
06/08/2020 14:31:18',0:00:03'
06/08/2020 14:31:24',0:00:01'
06/08/2020 14:31:34',0:00:01'
06/08/2020 14:31:41',0:00:02'
06/08/2020 14:31:58',0:00:14'
06/08/2020 14:32:07',0:00:01'
06/08/2020 14:32:18',0:00:02'
06/08/2020 14:32:25',0:00:04'
06/08/2020 14:32:33',0:00:00'
06/08/2020 14:32:37',0:00:01'
06/08/2020 14:32:47',0:00:01'
06/08/2020 14:32:53',0:00:03'
06/08/2020 14:33:01',0:00:00'
06/08/2020 14:33:08',0:00:02'
06/08/2020 14:33:11',0:00:00'
06/08/2020 21:14:07',0:00:00'
06/08/2020 21:14:12',0:00:04'
06/08/2020 21:14:23',0:00:02'
06/08/2020 21:14:34',0:00:03'
06/08/2020 21:14:52',0:00:02'
06/08/2020 21:15:00',0:00:04'
06/08/2020 21:15:09',0:00:00'
06/08/2020 21:15:12',0:00:02'
06/08/2020 21:15:19',0:00:03'
06/08/2020 21:15:23',0:00:03'
06/08/2020 21:15:28',0:00:00'
06/08/2020 21:15:34',0:00:03'
06/08/2020 21:15:44',0:00:03'
06/08/2020 21:16:04',0:00:01'
06/08/2020 21:16:10',0:00:03'
06/08/2020 21:16:19',0:00:01'
06/08/2020 21:16:26',0:00:03'
06/08/2020 21:16:29',0:00:03'
06/08/2020 21:16:35',0:00:02'
06/08/2020 21:16:44',0:00:03'
06/08/2020 21:16:49',0:00:01'
06/08/2020 21:16:56',0:00:04'
06/08/2020 21:16:59',0:00:00'
06/08/2020 21:17:10',0:00:02'
06/08/2020 21:17:19',0:00:03'
06/08/2020 21:17:40',0:00:03'
06/08/2020 21:17:52',0:00:02'
06/08/2020 21:18:00',0:00:02'
06/08/2020 21:18:07',0:00:04'
06/08/2020 21:18:14',0:00:00'
06/08/2020 21:18:29',0:00:02'
06/08/2020 21:18:50',0:00:14'
06/08/2020 21:19:16',0:00:02'
06/08/2020 21:19:23',0:00:04'
06/08/2020 21:19:25',0:00:00'
07/08/2020 06:21:06',0:00:02'
07/08/2020 06:21:18',0:00:03'
07/08/2020 06:21:41',0:00:02'
07/08/2020 06:21:58',0:00:14'
07/08/2020 06:22:22',0:00:02'
07/08/2020 06:22:28',0:00:04'
07/08/2020 06:22:33',0:00:01'
07/08/2020 08:04:44',0:00:01'
07/08/2020 08:04:56',0:00:10'
07/08/2020 08:05:00',0:00:02'
07/08/2020 08:05:04',0:00:01'
07/08/2020 08:05:11',0:00:02'
07/08/2020 08:05:17',0:00:03'
07/08/2020 08:05:24',0:00:02'
07/08/2020 08:05:28',0:00:01'
07/08/2020 08:05:32',0:00:02'
07/08/2020 08:05:34',0:00:01'
07/08/2020 08:05:39',0:00:03'
07/08/2020 08:05:44',0:00:03'
07/08/2020 08:06:04',0:00:02'
07/08/2020 08:06:22',0:00:09'
07/08/2020 08:07:04',0:00:02'
07/08/2020 08:07:10',0:00:04'
07/08/2020 08:07:15',0:00:00'
07/08/2020 08:29:44',0:00:03'
07/08/2020 11:59:29',0:00:00'
07/08/2020 11:59:35',0:00:03'
07/08/2020 11:59:38',0:00:01'
07/08/2020 11:59:48',0:00:03'
08/08/2020 06:51:02',0:00:05'
