User,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253
u1,06/08/2020 07:39,06/08/2020 07:39,06/08/2020 07:39,06/08/2020 07:39,06/08/2020 07:39,06/08/2020 07:39,06/08/2020 07:39,06/08/2020 07:39,06/08/2020 07:39,06/08/2020 07:39,06/08/2020 07:39,06/08/2020 07:39,06/08/2020 07:39,06/08/2020 07:39,06/08/2020 07:39,06/08/2020 07:39,06/08/2020 07:39,06/08/2020 07:40,06/08/2020 07:40,06/08/2020 07:40,06/08/2020 07:40,06/08/2020 07:40,06/08/2020 07:40,06/08/2020 07:40,06/08/2020 07:41,06/08/2020 07:41,06/08/2020 07:41,06/08/2020 07:41,06/08/2020 07:41,06/08/2020 07:41,06/08/2020 07:42,06/08/2020 07:42,06/08/2020 07:42,10/08/2020 12:12,10/08/2020 12:12,10/08/2020 12:13,10/08/2020 12:13,10/08/2020 12:13,10/08/2020 12:13,10/08/2020 12:13,10/08/2020 12:13,10/08/2020 12:13,10/08/2020 12:13,10/08/2020 12:14,10/08/2020 12:14,10/08/2020 12:14,12/08/2020 12:30,12/08/2020 12:30,12/08/2020 12:30,12/08/2020 12:30,12/08/2020 12:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u2,06/08/2020 12:18,06/08/2020 12:18,06/08/2020 12:18,06/08/2020 12:18,06/08/2020 12:18,06/08/2020 12:19,06/08/2020 12:19,06/08/2020 12:19,06/08/2020 12:19,06/08/2020 12:19,06/08/2020 12:19,06/08/2020 12:19,06/08/2020 12:19,06/08/2020 12:20,06/08/2020 12:20,06/08/2020 12:20,06/08/2020 12:21,06/08/2020 12:21,06/08/2020 12:23,06/08/2020 12:23,06/08/2020 12:23,06/08/2020 12:23,06/08/2020 12:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u3,06/08/2020 12:31,06/08/2020 12:31,06/08/2020 12:31,06/08/2020 12:32,06/08/2020 12:32,06/08/2020 12:32,06/08/2020 12:32,06/08/2020 12:32,06/08/2020 12:33,06/08/2020 12:35,06/08/2020 12:35,06/08/2020 13:20,12/08/2020 17:08,12/08/2020 17:08,12/08/2020 17:08,12/08/2020 17:08,12/08/2020 17:08,12/08/2020 17:09,12/08/2020 17:09,12/08/2020 17:09,14/08/2020 15:20,14/08/2020 15:20,14/08/2020 15:20,14/08/2020 15:20,14/08/2020 15:21,14/08/2020 15:21,14/08/2020 15:21,14/08/2020 15:21,14/08/2020 15:21,14/08/2020 15:22,14/08/2020 15:22,14/08/2020 15:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u4,06/08/2020 14:23,06/08/2020 14:23,06/08/2020 14:24,06/08/2020 14:24,06/08/2020 14:24,06/08/2020 14:24,06/08/2020 14:25,06/08/2020 14:25,06/08/2020 14:25,06/08/2020 14:26,06/08/2020 14:26,06/08/2020 14:26,06/08/2020 14:26,06/08/2020 14:26,06/08/2020 14:26,06/08/2020 14:26,06/08/2020 14:27,06/08/2020 14:27,06/08/2020 14:28,06/08/2020 14:29,06/08/2020 14:29,06/08/2020 14:29,06/08/2020 14:30,06/08/2020 14:30,06/08/2020 14:31,06/08/2020 14:31,06/08/2020 14:31,06/08/2020 14:31,06/08/2020 14:31,06/08/2020 14:31,06/08/2020 14:32,06/08/2020 14:32,06/08/2020 14:32,06/08/2020 14:32,06/08/2020 14:32,06/08/2020 14:32,06/08/2020 14:32,06/08/2020 14:33,06/08/2020 14:33,06/08/2020 14:33,07/08/2020 06:21,07/08/2020 06:21,07/08/2020 06:21,07/08/2020 06:21,07/08/2020 06:22,07/08/2020 06:22,07/08/2020 06:22,10/08/2020 12:10,10/08/2020 12:10,10/08/2020 12:10,10/08/2020 12:11,10/08/2020 12:11,10/08/2020 12:11,10/08/2020 12:11,10/08/2020 12:11,10/08/2020 12:11,12/08/2020 12:27,12/08/2020 12:28,12/08/2020 12:28,12/08/2020 12:28,12/08/2020 12:28,12/08/2020 12:28,12/08/2020 12:28,12/08/2020 12:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u5,06/08/2020 21:14,06/08/2020 21:14,06/08/2020 21:14,06/08/2020 21:15,06/08/2020 21:15,06/08/2020 21:15,06/08/2020 21:16,06/08/2020 21:16,06/08/2020 21:16,06/08/2020 21:16,06/08/2020 21:16,06/08/2020 21:16,06/08/2020 21:16,06/08/2020 21:16,06/08/2020 21:17,06/08/2020 21:17,06/08/2020 21:18,06/08/2020 21:18,06/08/2020 21:19,06/08/2020 21:19,06/08/2020 21:19,08/08/2020 13:34,08/08/2020 13:35,08/08/2020 13:35,08/08/2020 13:35,08/08/2020 13:36,08/08/2020 13:36,08/08/2020 13:36,08/08/2020 13:36,08/08/2020 13:37,08/08/2020 13:37,08/08/2020 13:37,08/08/2020 13:37,08/08/2020 13:37,08/08/2020 13:38,08/08/2020 13:38,08/08/2020 13:38,08/08/2020 13:38,08/08/2020 13:38,08/08/2020 13:38,08/08/2020 13:38,08/08/2020 13:39,08/08/2020 13:39,08/08/2020 13:39,08/08/2020 13:39,08/08/2020 13:40,08/08/2020 13:40,08/08/2020 13:40,08/08/2020 13:40,08/08/2020 13:40,08/08/2020 13:40,08/08/2020 13:40,08/08/2020 13:41,08/08/2020 13:41,08/08/2020 13:41,08/08/2020 13:41,08/08/2020 13:42,08/08/2020 13:42,08/08/2020 13:42,08/08/2020 13:42,08/08/2020 13:42,08/08/2020 13:42,08/08/2020 13:42,08/08/2020 13:43,08/08/2020 13:43,08/08/2020 13:43,08/08/2020 13:43,08/08/2020 13:43,08/08/2020 13:44,08/08/2020 13:44,08/08/2020 13:44,08/08/2020 13:44,08/08/2020 13:44,08/08/2020 13:44,08/08/2020 13:45,08/08/2020 13:45,08/08/2020 13:45,08/08/2020 13:45,08/08/2020 13:45,08/08/2020 13:45,08/08/2020 13:46,08/08/2020 13:46,08/08/2020 13:46,08/08/2020 13:47,08/08/2020 13:47,08/08/2020 13:47,08/08/2020 13:48,08/08/2020 13:48,08/08/2020 13:49,08/08/2020 13:49,08/08/2020 13:49,08/08/2020 13:49,08/08/2020 13:49,08/08/2020 13:50,08/08/2020 13:50,08/08/2020 13:50,08/08/2020 13:50,08/08/2020 13:51,08/08/2020 13:52,08/08/2020 13:52,08/08/2020 13:52,08/08/2020 13:52,08/08/2020 13:53,09/08/2020 19:31,09/08/2020 19:32,09/08/2020 19:32,09/08/2020 19:32,09/08/2020 19:32,09/08/2020 19:33,09/08/2020 19:33,09/08/2020 19:33,09/08/2020 19:34,10/08/2020 21:10,11/08/2020 16:50,12/08/2020 09:33,12/08/2020 09:39,12/08/2020 09:39,12/08/2020 09:39,12/08/2020 09:39,12/08/2020 09:40,12/08/2020 09:40,12/08/2020 09:40,16/08/2020 08:04,16/08/2020 08:04,16/08/2020 08:04,16/08/2020 08:04,16/08/2020 08:04,16/08/2020 08:04,16/08/2020 08:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u6,06/08/2020 21:14,06/08/2020 21:15,06/08/2020 21:15,06/08/2020 21:15,06/08/2020 21:15,06/08/2020 21:15,06/08/2020 21:16,06/08/2020 21:16,06/08/2020 21:16,06/08/2020 21:16,06/08/2020 21:17,06/08/2020 21:17,06/08/2020 21:17,06/08/2020 21:18,06/08/2020 21:18,08/08/2020 13:35,08/08/2020 13:35,08/08/2020 13:37,08/08/2020 13:38,08/08/2020 13:38,08/08/2020 13:39,08/08/2020 13:39,08/08/2020 13:39,08/08/2020 13:39,08/08/2020 13:39,08/08/2020 13:40,08/08/2020 13:40,08/08/2020 13:41,08/08/2020 13:41,08/08/2020 13:41,08/08/2020 13:41,08/08/2020 13:42,08/08/2020 13:43,08/08/2020 13:43,08/08/2020 13:43,08/08/2020 13:43,08/08/2020 13:43,08/08/2020 13:44,08/08/2020 13:44,08/08/2020 13:44,08/08/2020 13:45,08/08/2020 13:45,09/08/2020 19:36,09/08/2020 19:36,12/08/2020 09:41,12/08/2020 09:41,12/08/2020 09:41,12/08/2020 09:42,12/08/2020 09:42,12/08/2020 09:42,12/08/2020 09:42,12/08/2020 09:43,12/08/2020 09:43,12/08/2020 09:44,12/08/2020 09:44,12/08/2020 09:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u7,07/08/2020 08:04,07/08/2020 08:04,07/08/2020 08:04,07/08/2020 08:05,07/08/2020 08:05,07/08/2020 08:05,07/08/2020 08:05,07/08/2020 08:05,07/08/2020 08:05,07/08/2020 08:05,07/08/2020 08:05,07/08/2020 08:05,07/08/2020 08:06,07/08/2020 08:06,07/08/2020 08:06,07/08/2020 08:07,07/08/2020 08:07,07/08/2020 08:07,09/08/2020 14:17,09/08/2020 14:17,09/08/2020 14:17,09/08/2020 14:18,09/08/2020 14:18,09/08/2020 14:18,09/08/2020 14:18,09/08/2020 14:18,09/08/2020 14:18,09/08/2020 14:19,09/08/2020 14:19,09/08/2020 14:19,09/08/2020 14:19,09/08/2020 14:20,09/08/2020 14:20,09/08/2020 14:20,09/08/2020 14:20,09/08/2020 14:20,09/08/2020 14:20,09/08/2020 14:21,09/08/2020 14:21,09/08/2020 14:21,09/08/2020 14:21,09/08/2020 14:22,09/08/2020 14:22,09/08/2020 14:22,09/08/2020 14:22,09/08/2020 14:22,09/08/2020 14:23,09/08/2020 14:23,09/08/2020 14:23,09/08/2020 14:24,09/08/2020 14:24,09/08/2020 14:24,09/08/2020 14:24,09/08/2020 14:24,09/08/2020 14:24,09/08/2020 14:24,09/08/2020 14:25,09/08/2020 14:25,09/08/2020 14:25,09/08/2020 14:25,09/08/2020 14:25,09/08/2020 14:25,09/08/2020 14:25,09/08/2020 14:25,09/08/2020 14:26,09/08/2020 14:27,09/08/2020 14:28,09/08/2020 14:28,09/08/2020 14:28,09/08/2020 14:29,09/08/2020 14:29,09/08/2020 14:29,09/08/2020 14:29,09/08/2020 14:29,09/08/2020 14:29,09/08/2020 14:29,09/08/2020 14:30,09/08/2020 14:30,09/08/2020 14:30,09/08/2020 14:30,09/08/2020 14:30,09/08/2020 14:30,09/08/2020 14:31,09/08/2020 14:31,09/08/2020 14:31,09/08/2020 14:31,09/08/2020 14:31,09/08/2020 14:32,09/08/2020 14:32,09/08/2020 14:32,09/08/2020 14:32,09/08/2020 14:32,09/08/2020 14:32,09/08/2020 14:33,09/08/2020 14:33,09/08/2020 14:33,09/08/2020 14:33,09/08/2020 14:34,09/08/2020 14:34,09/08/2020 14:34,09/08/2020 14:34,09/08/2020 14:34,09/08/2020 14:35,12/08/2020 10:37,12/08/2020 10:37,12/08/2020 10:37,12/08/2020 10:37,12/08/2020 10:37,12/08/2020 10:37,12/08/2020 10:38,12/08/2020 10:38,12/08/2020 10:38,12/08/2020 10:38,12/08/2020 10:38,12/08/2020 10:38,12/08/2020 10:38,12/08/2020 10:39,12/08/2020 10:39,12/08/2020 10:39,12/08/2020 10:39,12/08/2020 10:39,12/08/2020 10:39,12/08/2020 10:40,12/08/2020 10:40,12/08/2020 10:40,12/08/2020 10:40,12/08/2020 10:40,12/08/2020 10:41,12/08/2020 10:41,12/08/2020 10:41,13/08/2020 08:18,13/08/2020 08:18,13/08/2020 08:18,13/08/2020 08:18,13/08/2020 08:18,13/08/2020 08:18,13/08/2020 08:18,13/08/2020 08:18,13/08/2020 08:18,13/08/2020 08:18,13/08/2020 08:19,13/08/2020 08:19,13/08/2020 08:19,13/08/2020 08:20,13/08/2020 08:20,13/08/2020 08:20,13/08/2020 08:20,13/08/2020 08:21,14/08/2020 12:09,14/08/2020 12:09,14/08/2020 12:10,14/08/2020 12:11,14/08/2020 12:11,14/08/2020 12:11,14/08/2020 12:18,14/08/2020 12:18,14/08/2020 12:18,14/08/2020 12:18,14/08/2020 12:18,14/08/2020 12:18,14/08/2020 12:18,14/08/2020 12:18,14/08/2020 12:18,14/08/2020 12:19,14/08/2020 12:19,14/08/2020 12:19,14/08/2020 12:19,14/08/2020 12:19,14/08/2020 12:19,14/08/2020 12:19,14/08/2020 12:21,14/08/2020 12:21,14/08/2020 12:21,14/08/2020 12:21,14/08/2020 12:21,17/08/2020 10:13,17/08/2020 10:13,17/08/2020 10:13,17/08/2020 10:13,17/08/2020 10:14,17/08/2020 10:14,17/08/2020 10:14,17/08/2020 10:14,17/08/2020 10:14,17/08/2020 10:14,17/08/2020 10:14,17/08/2020 10:14,17/08/2020 10:15,17/08/2020 10:15,17/08/2020 10:15,17/08/2020 10:15,17/08/2020 10:15,17/08/2020 10:15,17/08/2020 10:15,17/08/2020 10:15,17/08/2020 10:15,17/08/2020 10:15,17/08/2020 10:15,17/08/2020 10:16,17/08/2020 10:16,17/08/2020 10:16,17/08/2020 10:16,17/08/2020 10:16,17/08/2020 10:16,17/08/2020 10:16,17/08/2020 10:16,17/08/2020 10:16,17/08/2020 10:17,17/08/2020 10:17,17/08/2020 10:17,17/08/2020 10:17,17/08/2020 10:17,17/08/2020 10:17,17/08/2020 10:17,17/08/2020 10:18,17/08/2020 10:18,17/08/2020 10:18,17/08/2020 10:18,17/08/2020 10:18,17/08/2020 10:18,17/08/2020 10:20,17/08/2020 12:00,17/08/2020 13:42,17/08/2020 13:42,17/08/2020 13:42,17/08/2020 13:43,17/08/2020 13:43,17/08/2020 13:43,17/08/2020 13:44,17/08/2020 13:44,17/08/2020 13:44,17/08/2020 13:44,17/08/2020 13:44,17/08/2020 13:45,17/08/2020 13:45,17/08/2020 13:45,17/08/2020 13:45,17/08/2020 13:46,17/08/2020 13:46,17/08/2020 13:46,17/08/2020 13:47,17/08/2020 13:47,17/08/2020 13:47,17/08/2020 13:47,17/08/2020 13:51,17/08/2020 13:51,17/08/2020 13:55,17/08/2020 13:58,17/08/2020 13:58,17/08/2020 13:59,17/08/2020 13:59,17/08/2020 14:01,17/08/2020 14:03,17/08/2020 14:03
u8,07/08/2020 08:29,07/08/2020 11:59,07/08/2020 11:59,07/08/2020 11:59,07/08/2020 11:59,11/08/2020 08:38,11/08/2020 08:38,11/08/2020 16:50,11/08/2020 16:50,11/08/2020 16:50,12/08/2020 09:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u9,08/08/2020 06:51,08/08/2020 06:51,08/08/2020 06:51,08/08/2020 06:51,08/08/2020 06:51,08/08/2020 06:51,08/08/2020 06:52,08/08/2020 06:52,08/08/2020 06:52,08/08/2020 06:52,08/08/2020 06:52,08/08/2020 06:52,08/08/2020 06:52,08/08/2020 06:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u10,08/08/2020 18:56,08/08/2020 18:56,08/08/2020 18:56,08/08/2020 18:56,08/08/2020 18:56,08/08/2020 18:56,08/08/2020 18:57,08/08/2020 18:57,08/08/2020 18:57,08/08/2020 18:57,08/08/2020 18:57,08/08/2020 18:57,08/08/2020 18:57,08/08/2020 18:57,08/08/2020 18:58,08/08/2020 18:58,08/08/2020 18:58,08/08/2020 18:58,08/08/2020 18:58,08/08/2020 18:59,08/08/2020 18:59,08/08/2020 18:59,08/08/2020 19:00,08/08/2020 19:00,08/08/2020 19:00,08/08/2020 19:00,08/08/2020 19:00,08/08/2020 19:00,09/08/2020 08:17,09/08/2020 08:17,09/08/2020 08:18,09/08/2020 08:18,09/08/2020 08:19,09/08/2020 08:19,09/08/2020 08:21,09/08/2020 08:21,09/08/2020 08:21,09/08/2020 08:21,09/08/2020 08:23,09/08/2020 08:23,09/08/2020 08:27,09/08/2020 08:27,09/08/2020 08:28,09/08/2020 08:28,09/08/2020 08:28,09/08/2020 08:28,09/08/2020 08:29,09/08/2020 08:29,09/08/2020 08:30,09/08/2020 08:30,09/08/2020 08:34,09/08/2020 08:34,09/08/2020 08:34,09/08/2020 08:34,09/08/2020 08:34,09/08/2020 08:35,09/08/2020 08:36,09/08/2020 08:36,09/08/2020 08:38,09/08/2020 08:38,09/08/2020 08:38,09/08/2020 08:38,09/08/2020 08:38,09/08/2020 08:39,09/08/2020 08:45,09/08/2020 08:45,09/08/2020 08:48,09/08/2020 08:48,09/08/2020 08:48,09/08/2020 08:48,09/08/2020 08:49,09/08/2020 08:49,09/08/2020 08:50,09/08/2020 08:50,09/08/2020 08:50,09/08/2020 08:50,09/08/2020 08:50,09/08/2020 08:52,09/08/2020 08:52,09/08/2020 08:53,09/08/2020 08:53,09/08/2020 08:53,09/08/2020 08:53,09/08/2020 08:54,09/08/2020 08:54,09/08/2020 08:54,09/08/2020 08:54,09/08/2020 09:06,09/08/2020 09:06,09/08/2020 09:12,09/08/2020 09:12,09/08/2020 09:12,09/08/2020 09:12,09/08/2020 09:12,09/08/2020 09:12,09/08/2020 09:17,09/08/2020 09:17,09/08/2020 09:18,09/08/2020 09:18,09/08/2020 09:18,09/08/2020 09:18,09/08/2020 09:28,09/08/2020 09:28,09/08/2020 09:28,09/08/2020 09:28,09/08/2020 09:28,09/08/2020 09:28,11/08/2020 16:27,11/08/2020 16:27,11/08/2020 16:27,11/08/2020 16:27,11/08/2020 16:28,11/08/2020 16:28,11/08/2020 16:29,11/08/2020 16:36,11/08/2020 16:36,11/08/2020 16:36,11/08/2020 16:36,11/08/2020 16:37,11/08/2020 16:37,11/08/2020 16:37,11/08/2020 16:38,11/08/2020 16:38,11/08/2020 16:38,11/08/2020 16:39,11/08/2020 16:39,11/08/2020 16:39,11/08/2020 16:39,11/08/2020 16:39,11/08/2020 16:40,11/08/2020 16:41,11/08/2020 16:41,11/08/2020 16:41,11/08/2020 16:42,11/08/2020 16:42,11/08/2020 16:42,11/08/2020 16:42,11/08/2020 16:44,11/08/2020 16:44,11/08/2020 16:46,11/08/2020 16:46,11/08/2020 16:46,11/08/2020 16:48,11/08/2020 16:48,11/08/2020 16:48,11/08/2020 16:49,11/08/2020 16:50,11/08/2020 16:50,11/08/2020 16:51,11/08/2020 16:51,11/08/2020 16:51,11/08/2020 16:52,11/08/2020 16:52,11/08/2020 16:52,11/08/2020 16:53,11/08/2020 16:53,11/08/2020 16:53,11/08/2020 16:53,11/08/2020 16:53,11/08/2020 16:53,11/08/2020 16:55,11/08/2020 16:55,11/08/2020 16:55,11/08/2020 16:56,11/08/2020 16:56,12/08/2020 15:26,12/08/2020 15:26,12/08/2020 15:26,12/08/2020 15:27,12/08/2020 15:27,12/08/2020 15:27,12/08/2020 15:28,12/08/2020 15:28,12/08/2020 15:29,12/08/2020 15:29,12/08/2020 15:29,12/08/2020 15:30,12/08/2020 15:30,12/08/2020 15:31,12/08/2020 15:31,12/08/2020 15:31,12/08/2020 15:31,12/08/2020 15:32,12/08/2020 15:32,12/08/2020 15:33,12/08/2020 15:33,16/08/2020 04:12,16/08/2020 04:12,16/08/2020 04:14,16/08/2020 04:14,16/08/2020 04:14,16/08/2020 04:14,16/08/2020 04:16,16/08/2020 04:16,16/08/2020 04:19,16/08/2020 04:19,16/08/2020 04:19,16/08/2020 04:19,16/08/2020 04:21,16/08/2020 04:21,16/08/2020 04:22,16/08/2020 04:22,16/08/2020 04:22,16/08/2020 04:24,16/08/2020 04:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
